"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File State House District","All Record Count"
"PA","B - Black","80-89.9","90-100","181","2,222"
"PA","H - Hispanic or Latino","70-79.9","90-100","197","2,200"
"PA","B - Black","70-79.9","90-100","198","2,188"
"PA","W - White","70-79.9","0-9.9","029","2,155"
"PA","W - White","70-79.9","90-100","029","2,141"
"PA","W - White","90-100","0-9.9","131","2,132"
"PA","W - White","80-89.9","0-9.9","151","2,127"
"PA","W - White","40-49.9","90-100","175","2,104"
"PA","W - White","80-89.9","0-9.9","170","2,100"
"PA","W - White","90-100","90-100","177","2,074"
"PA","H - Hispanic or Latino","20-29.9","90-100","180","2,074"
"PA","H - Hispanic or Latino","20-29.9","90-100","197","2,058"
"PA","W - White","70-79.9","90-100","031","2,051"
"PA","W - White","50-59.9","90-100","175","2,027"
"PA","W - White","70-79.9","0-9.9","144","2,015"
"PA","W - White","90-100","0-9.9","172","2,014"
"PA","W - White","60-69.9","0-9.9","178","1,980"
"PA","W - White","70-79.9","0-9.9","031","1,976"
"PA","H - Hispanic or Latino","50-59.9","90-100","197","1,946"
"PA","B - Black","80-89.9","90-100","197","1,933"
"PA","W - White","30-39.9","90-100","175","1,914"
"PA","W - White","70-79.9","90-100","141","1,895"
"PA","H - Hispanic or Latino","70-79.9","90-100","180","1,894"
"PA","W - White","60-69.9","0-9.9","143","1,875"
"PA","B - Black","70-79.9","90-100","203","1,874"
"PA","W - White","60-69.9","0-9.9","145","1,870"
"PA","W - White","70-79.9","0-9.9","142","1,841"
"PA","H - Hispanic or Latino","40-49.9","90-100","197","1,816"
"PA","W - White","80-89.9","0-9.9","131","1,814"
"PA","W - White","70-79.9","90-100","140","1,804"
"PA","B - Black","20-29.9","90-100","179","1,798"
"PA","H - Hispanic or Latino","50-59.9","90-100","180","1,786"
"PA","W - White","70-79.9","90-100","142","1,767"
"PA","W - White","70-79.9","90-100","144","1,767"
"PA","W - White","70-79.9","90-100","177","1,759"
"PA","B - Black","70-79.9","90-100","179","1,754"
"PA","W - White","50-59.9","0-9.9","145","1,728"
"PA","H - Hispanic or Latino","40-49.9","90-100","180","1,725"
"PA","H - Hispanic or Latino","60-69.9","90-100","197","1,708"
"PA","H - Hispanic or Latino","0-9.9","90-100","180","1,707"
"PA","W - White","50-59.9","0-9.9","178","1,701"
"PA","W - White","60-69.9","90-100","029","1,697"
"PA","B - Black","20-29.9","90-100","181","1,697"
"PA","W - White","50-59.9","0-9.9","143","1,673"
"PA","W - White","70-79.9","90-100","143","1,672"
"PA","W - White","90-100","0-9.9","173","1,663"
"PA","W - White","10-19.9","90-100","175","1,662"
"PA","W - White","20-29.9","90-100","175","1,654"
