"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File State Senate District","All Record Count"
"AK","W - White","60-69.9","90-100","J","586"
"AK","W - White","80-89.9","90-100","Q","586"
"AK","W - White","10-19.9","0-9.9","A","584"
"AK","W - White","50-59.9","90-100","H","584"
"AK","W - White","20-29.9","0-9.9","R","576"
"AK","W - White","50-59.9","10-19.9","M","571"
"AK","W - White","50-59.9","90-100","I","564"
"AK","W - White","30-39.9","10-19.9","C","561"
"AK","W - White","80-89.9","30-39.9","O","560"
"AK","W - White","80-89.9","0-9.9","I","558"
"AK","W - White","60-69.9","10-19.9","O","549"
"AK","W - White","60-69.9","90-100","K","547"
"AK","W - White","30-39.9","90-100","B","546"
"AK","W - White","10-19.9","20-29.9","N","544"
"AK","W - White","70-79.9","90-100","C","543"
"AK","W - White","60-69.9","0-9.9","P","541"
"AK","W - White","80-89.9","20-29.9","Q","540"
"AK","W - White","40-49.9","0-9.9","I","539"
"AK","W - White","80-89.9","10-19.9","Q","538"
"AK","W - White","60-69.9","90-100","L","535"
"AK","W - White","0-9.9","0-9.9","N","534"
"AK","W - White","80-89.9","90-100","D","534"
"AK","W - White","0-9.9","0-9.9","A","533"
"AK","W - White","10-19.9","10-19.9","A","533"
"AK","W - White","70-79.9","90-100","A","529"
"AK","W - White","80-89.9","90-100","M","528"
"AK","W - White","50-59.9","90-100","E","526"
"AK","W - White","0-9.9","20-29.9","M","525"
"AK","W - White","50-59.9","10-19.9","N","523"
"AK","W - White","60-69.9","0-9.9","H","523"
"AK","W - White","20-29.9","0-9.9","P","520"
"AK","W - White","50-59.9","90-100","G","519"
"AK","W - White","60-69.9","0-9.9","F","519"
"AK","W - White","90-100","80-89.9","E","517"
"AK","W - White","0-9.9","0-9.9","M","511"
"AK","W - White","80-89.9","30-39.9","A","511"
"AK","W - White","20-29.9","0-9.9","A","510"
"AK","W - White","80-89.9","20-29.9","R","510"
"AK","W - White","10-19.9","20-29.9","M","508"
"AK","W - White","10-19.9","10-19.9","C","506"
"AK","W - White","80-89.9","10-19.9","A","506"
"AK","W - White","90-100","20-29.9","O","505"
"AK","W - White","20-29.9","0-9.9","L","503"
"AK","W - White","20-29.9","10-19.9","D","503"
"AK","W - White","20-29.9","10-19.9","N","503"
"AK","W - White","20-29.9","10-19.9","M","501"
"AK","W - White","90-100","10-19.9","Q","501"
"AK","W - White","90-100","20-29.9","D","499"
"AK","W - White","70-79.9","0-9.9","I","499"
"AK","W - White","90-100","20-29.9","M","497"
"AK","W - White","70-79.9","0-9.9","G","497"
"AK","W - White","80-89.9","0-9.9","J","497"
"AK","W - White","10-19.9","90-100","B","497"
"AK","W - White","60-69.9","10-19.9","D","495"
"AK","W - White","0-9.9","0-9.9","R","494"
"AK","W - White","80-89.9","10-19.9","M","493"
"AK","W - White","70-79.9","10-19.9","O","489"
"AK","W - White","90-100","30-39.9","M","488"
"AK","W - White","80-89.9","30-39.9","D","487"
"AK","W - White","50-59.9","90-100","L","487"
"AK","W - White","40-49.9","10-19.9","A","487"
"AK","W - White","70-79.9","0-9.9","B","485"
"AK","W - White","10-19.9","20-29.9","O","483"
"AK","W - White","50-59.9","90-100","K","483"
"AK","W - White","80-89.9","10-19.9","C","479"
"AK","W - White","90-100","20-29.9","Q","477"
"AK","W - White","90-100","0-9.9","I","477"
"AK","W - White","50-59.9","0-9.9","E","477"
"AK","W - White","40-49.9","90-100","H","476"
"AK","W - White","90-100","10-19.9","D","475"
"AK","W - White","50-59.9","0-9.9","I","475"
"AK","W - White","60-69.9","90-100","C","472"
"AK","W - White","70-79.9","10-19.9","D","472"
"AK","W - White","80-89.9","30-39.9","N","470"
"AK","W - White","40-49.9","10-19.9","C","470"
"AK","W - White","80-89.9","30-39.9","M","470"
"AK","W - White","80-89.9","20-29.9","N","469"
"AK","W - White","0-9.9","80-89.9","B","468"
"AK","W - White","30-39.9","10-19.9","A","466"
"AK","W - White","90-100","30-39.9","F","466"
"AK","W - White","60-69.9","0-9.9","G","465"
"AK","W - White","30-39.9","0-9.9","B","464"
"AK","W - White","40-49.9","90-100","I","463"
"AK","W - White","10-19.9","0-9.9","L","460"
"AK","W - White","60-69.9","0-9.9","I","460"
